file,sample_id,algorithm,input_size,text_len,pattern_len,k,runtime_sec,num_expected,num_pred,valid,expected,pred
dna_640.txt,9,Brute Force with k mismatches,640,640,64,13,0.0007003459995758021,1,1,True,[525],[525]
dna_1280.txt,0,Brute Force with k mismatches,1280,1280,128,24,0.0024954309992608614,1,1,True,[422],[422]
dna_1280.txt,1,Brute Force with k mismatches,1280,1280,128,36,0.0036251629990147194,1,1,True,[983],[983]
dna_1280.txt,2,Brute Force with k mismatches,1280,1280,128,12,0.0013441820010484662,1,1,True,[1034],[1034]
dna_1280.txt,3,Brute Force with k mismatches,1280,1280,128,14,0.0015628220007783966,1,1,True,[38],[38]
dna_1280.txt,4,Brute Force with k mismatches,1280,1280,128,9,0.0010704980013542809,1,1,True,[218],[218]
dna_1280.txt,5,Brute Force with k mismatches,1280,1280,128,30,0.0030623570000898326,1,1,True,[35],[35]
dna_1280.txt,6,Brute Force with k mismatches,1280,1280,128,35,0.003558105001502554,1,1,True,[753],[753]
dna_1280.txt,7,Brute Force with k mismatches,1280,1280,128,41,0.0040871010005503194,1,1,True,[133],[133]
dna_1280.txt,8,Brute Force with k mismatches,1280,1280,128,42,0.004200543000479229,1,1,True,[240],[240]
dna_1280.txt,9,Brute Force with k mismatches,1280,1280,128,14,0.0015090349988895468,1,1,True,[135],[135]
